,0
0,Lose You To Love Me (Demo Version)
1,Rare (Live From The Village Studio)
2,Rare (Alexander 23 Edit)
3,Back To You (Riton & Kah-Lo Remix)
4,Wolves (MOTi Remix)
5,Wolves (Sneek Remix)
6,Wolves (Rusko Remix)
7,Wolves (Owen Norton Remix)
8,Wolves (Total Ape Remix)
9,Wolves
